USD_BRL,Dia,Mes,Ano
3.48,13,6,2016
3.42,10,6,2016
3.4,9,6,2016
3.36,8,6,2016
3.44,7,6,2016
3.49,6,6,2016
3.52,3,6,2016
3.59,2,6,2016
3.6,1,6,2016
3.61,31,5,2016
3.57,30,5,2016
3.61,27,5,2016
3.58,26,5,2016
3.58,25,5,2016
3.57,24,5,2016
3.57,23,5,2016
3.52,20,5,2016
3.56,19,5,2016
3.57,18,5,2016
3.49,17,5,2016
3.5,16,5,2016
3.53,13,5,2016
3.49,12,5,2016
3.45,11,5,2016
3.48,10,5,2016
3.52,9,5,2016
3.5,6,5,2016
3.53,5,5,2016
3.55,4,5,2016
3.56,3,5,2016
3.5,2,5,2016
3.44,29,4,2016
3.49,28,4,2016
3.53,27,4,2016
3.53,26,4,2016
3.56,25,4,2016
3.56,22,4,2016
3.54,21,4,2016
3.53,20,4,2016
3.53,19,4,2016
3.62,18,4,2016
3.53,15,4,2016
3.48,14,4,2016
3.5,13,4,2016
3.49,12,4,2016
3.49,11,4,2016
3.59,8,4,2016
3.69,7,4,2016
3.64,6,4,2016
3.68,5,4,2016
3.62,4,4,2016
3.55,1,4,2016
3.59,31,3,2016
3.6,30,3,2016
3.64,29,3,2016
3.63,28,3,2016
3.68,25,3,2016
3.68,24,3,2016
3.69,23,3,2016
3.58,22,3,2016
3.62,21,3,2016
3.62,18,3,2016
3.63,17,3,2016
3.74,16,3,2016
3.77,15,3,2016
3.66,14,3,2016
3.58,11,3,2016
3.62,10,3,2016
3.68,9,3,2016
3.76,8,3,2016
3.78,7,3,2016
3.76,4,3,2016
3.8,3,3,2016
3.89,2,3,2016
3.93,1,3,2016
4.02,29,2,2016
3.99,26,2,2016
3.96,25,2,2016
3.96,24,2,2016
3.96,23,2,2016
3.95,22,2,2016
4.02,19,2,2016
4.03,18,2,2016
3.99,17,2,2016
4.07,16,2,2016
4.01,15,2,2016
4.0,12,2,2016
3.99,11,2,2016
3.93,10,2,2016
3.89,9,2,2016
3.9,8,2,2016
3.9,5,2,2016
3.89,4,2,2016
3.9,3,2,2016
3.99,2,2,2016
3.96,1,2,2016
4.0,29,1,2016
4.07,28,1,2016
4.11,27,1,2016
4.05,26,1,2016
4.09,25,1,2016
4.09,22,1,2016
4.16,21,1,2016
4.1,20,1,2016
4.06,19,1,2016
4.06,18,1,2016
4.05,15,1,2016
4.0,14,1,2016
4.02,13,1,2016
4.03,12,1,2016
4.05,11,1,2016
4.02,8,1,2016
4.04,7,1,2016
4.02,6,1,2016
4.01,5,1,2016
4.04,4,1,2016
3.96,1,1,2016
3.96,31,12,2015
3.96,30,12,2015
3.87,29,12,2015
3.86,28,12,2015
3.95,25,12,2015
3.95,24,12,2015
3.94,23,12,2015
3.99,22,12,2015
4.01,21,12,2015
3.98,18,12,2015
3.88,17,12,2015
3.88,16,12,2015
3.87,15,12,2015
3.88,14,12,2015
3.87,11,12,2015
3.81,10,12,2015
3.75,9,12,2015
3.8,8,12,2015
3.77,7,12,2015
3.75,4,12,2015
3.76,3,12,2015
3.84,2,12,2015
3.86,1,12,2015
3.87,30,11,2015
3.85,27,11,2015
3.74,26,11,2015
3.74,25,11,2015
3.7,24,11,2015
3.73,23,11,2015
3.71,20,11,2015
3.72,19,11,2015
3.77,18,11,2015
3.81,17,11,2015
3.82,16,11,2015
3.85,13,11,2015
3.77,12,11,2015
3.76,11,11,2015
3.75,10,11,2015
3.8,9,11,2015
3.77,6,11,2015
3.78,5,11,2015
3.8,4,11,2015
3.77,3,11,2015
3.85,2,11,2015
3.86,30,10,2015
3.85,29,10,2015
3.91,28,10,2015
3.89,27,10,2015
3.91,26,10,2015
3.88,23,10,2015
3.91,22,10,2015
3.94,21,10,2015
3.91,20,10,2015
3.89,19,10,2015
3.92,16,10,2015
3.8,15,10,2015
3.81,14,10,2015
3.89,13,10,2015
3.76,12,10,2015
3.77,9,10,2015
3.78,8,10,2015
3.88,7,10,2015
3.85,6,10,2015
3.91,5,10,2015
3.93,2,10,2015
4.01,1,10,2015
3.95,30,9,2015
4.06,29,9,2015
4.11,28,9,2015
3.98,25,9,2015
3.94,24,9,2015
4.18,23,9,2015
4.05,22,9,2015
3.99,21,9,2015
3.95,18,9,2015
3.9,17,9,2015
3.83,16,9,2015
3.86,15,9,2015
3.82,14,9,2015
3.87,11,9,2015
3.85,10,9,2015
3.78,9,9,2015
3.82,8,9,2015
3.84,7,9,2015
3.84,4,9,2015
3.74,3,9,2015
3.76,2,9,2015
3.7,1,9,2015
3.62,31,8,2015
3.58,28,8,2015
3.55,27,8,2015
3.6,26,8,2015
3.62,25,8,2015
3.55,24,8,2015
3.5,21,8,2015
3.46,20,8,2015
3.49,19,8,2015
3.47,18,8,2015
3.48,17,8,2015
3.48,14,8,2015
3.52,13,8,2015
3.48,12,8,2015
3.48,11,8,2015
3.43,10,8,2015
3.51,7,8,2015
3.54,6,8,2015
3.49,5,8,2015
3.47,4,8,2015
3.45,3,8,2015
3.42,31,7,2015
3.37,30,7,2015
3.33,29,7,2015
3.36,28,7,2015
3.36,27,7,2015
3.36,24,7,2015
3.29,23,7,2015
3.22,22,7,2015
3.17,21,7,2015
3.2,20,7,2015
3.19,17,7,2015
3.16,16,7,2015
3.14,15,7,2015
3.14,14,7,2015
3.13,13,7,2015
3.16,10,7,2015
3.22,9,7,2015
3.23,8,7,2015
3.19,7,7,2015
3.14,6,7,2015
3.13,3,7,2015
3.1,2,7,2015
3.15,1,7,2015
3.1,30,6,2015
3.12,29,6,2015
3.13,26,6,2015
3.13,25,6,2015
3.1,24,6,2015
3.08,23,6,2015
3.08,22,6,2015
3.1,19,6,2015
3.06,18,6,2015
3.06,17,6,2015
3.09,16,6,2015
3.13,15,6,2015
3.12,12,6,2015
3.09,11,6,2015
3.12,10,6,2015
3.1,9,6,2015
3.11,8,6,2015
3.14,5,6,2015
3.14,4,6,2015
3.13,3,6,2015
3.13,2,6,2015
3.17,1,6,2015
3.18,29,5,2015
3.16,28,5,2015
3.14,27,5,2015
3.15,26,5,2015
3.1,25,5,2015
3.09,22,5,2015
3.04,21,5,2015
3.0,20,5,2015
3.04,19,5,2015
3.01,18,5,2015
3.0,15,5,2015
2.99,14,5,2015
3.04,13,5,2015
3.02,12,5,2015
3.06,11,5,2015
2.97,8,5,2015
3.03,7,5,2015
3.03,6,5,2015
3.05,5,5,2015
3.09,4,5,2015
3.01,1,5,2015
3.01,30,4,2015
2.96,29,4,2015
2.94,28,4,2015
2.92,27,4,2015
2.95,24,4,2015
2.97,23,4,2015
3.01,22,4,2015
3.03,21,4,2015
3.03,20,4,2015
3.04,17,4,2015
3.02,16,4,2015
3.03,15,4,2015
3.06,14,4,2015
3.12,13,4,2015
3.08,10,4,2015
3.06,9,4,2015
3.05,8,4,2015
3.13,7,4,2015
3.13,6,4,2015
3.12,3,4,2015
3.12,2,4,2015
3.17,1,4,2015
3.2,31,3,2015
3.23,30,3,2015
3.25,27,3,2015
3.18,26,3,2015
3.2,25,3,2015
3.14,24,3,2015
3.13,23,3,2015
3.23,20,3,2015
3.29,19,3,2015
3.21,18,3,2015
3.24,17,3,2015
3.25,16,3,2015
3.25,13,3,2015
3.17,12,3,2015
3.13,11,3,2015
3.1,10,3,2015
3.12,9,3,2015
3.06,6,3,2015
3.0,5,3,2015
2.98,4,3,2015
2.93,3,3,2015
2.9,2,3,2015
2.84,27,2,2015
2.91,26,2,2015
